codigo_materia,identificacao,ementa,data_apresentacao,situacao_atual,n_emendas,posicao,eh_pl2338
160922,PL 3780/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a fim de majorar as penas previstas para os crimes de furto, roubo, receptação, receptação de animal e interrupção ou perturbação de serviço telegráfico, telefônico, informático, telemático ou de informação de utilidade pública, bem como para tipificar os crimes de recepção de animal doméstico e de fraude bancária.",2023-11-07,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,5,24,FALSE
163680,PL 5813/2023,"Altera as Leis nºs 11.788, de 25 de setembro de 2008, e 13.667, de 17 de maio de 2018, para estabelecer incentivos à inserção de pessoas com transtorno do espectro autista no mercado de trabalho.",2024-05-15,TRANSFORMADA EM NORMA JURÍDICA,4,25,FALSE
166098,PL 1799/2023,Dispõe sobre ações para avaliação médica completa e periódica da saúde da mulher no âmbito do Sistema Único de Saúde (SUS) e sobre a conscientização acerca da importância da prevenção de doenças e de agravos à saúde.,2024-11-11,TRANSFORMADA EM NORMA JURÍDICA,4,26,FALSE
156485,PL 636/2023,"Altera a Lei nº 12.340, de 1º de dezembro de 2010, para dar mais efetividade ao Plano de Contingência de Proteção e Defesa Civil.",2023-03-24,REMETIDA À CÂMARA DOS DEPUTADOS,3,27,FALSE
157055,PL 2088/2023,"Acrescenta o art. 12-A à Lei nº 12.187, de 29 de dezembro de 2009, que institui a Política Nacional sobre Mudança do Clima, para tornar obrigatório o cumprimento de padrões ambientais compatíveis aos do Brasil, para a disponibilização de bens no mercado brasileiro.",2023-04-24,TRANSFORMADA EM NORMA JURÍDICA,3,28,FALSE
159782,PL 223/2023,"Acrescenta dispositivo à Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a gratuidade da justiça não compreende a remuneração do conciliador ou mediador pelo trabalho nas audiências que excederem o percentual referido no § 2º do art. 169 do Código de Processo Civil.",2023-09-05,REMETIDA À CÂMARA DOS DEPUTADOS,3,29,FALSE
160577,PL 4358/2023,Institui o Certificado Empresa Promotora da Saúde Mental e estabelece os requisitos para a concessão da certificação.,2023-10-18,AGUARDANDO DESIGNAÇÃO DO RELATOR,3,30,FALSE
160795,PL 5331/2023,"Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para dispor sobre a produção nacional de medicamentos e de insumos farmacêuticos ativos estratégicos para o tratamento de doenças negligenciadas.",2023-11-01,TRANSFORMADA EM NORMA JURÍDICA,3,31,FALSE
161017,PL 5086/2023,"Altera a Lei nº 12.587, de 3 de janeiro de 2012, a fim de dispor sobre o prazo para a elaboração do Plano de Mobilidade Urbana pelos Municípios.",2023-11-09,TRANSFORMADA EM NORMA JURÍDICA,3,32,FALSE
161644,PL 6064/2023,"Dispõe sobre o direito a indenização por dano moral e a concessão de pensão especial à pessoa com deficiência permanente decorrente de síndrome congênita associada à infecção pelo vírus Zika ou de Síndrome de Guillain-Barré causada pelo vírus Zika; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 8.742, de 7 de dezembro de 1993, e 8.213, de 24 de julho de 1991.",2023-12-14,VETADA,3,33,FALSE
161826,PL 380/2023,"Altera a Lei nº 10.257, de 10 de julho de 2001, para estabelecer como diretriz da política urbana o fomento à construção de cidades resilientes às mudanças climáticas.",2023-12-22,REMETIDA À CÂMARA DOS DEPUTADOS,3,34,FALSE
157326,PL 1852/2023,"Altera a Lei nº 8.906, de 4 de julho de 1994 (Estatuto da Advocacia), para incluir o assédio moral, o assédio sexual e a discriminação entre as infrações ético-disciplinares, no âmbito da Ordem dos Advogados do Brasil.",2023-05-09,TRANSFORMADA EM NORMA JURÍDICA,2,35,FALSE
157538,PL 2721/2023,Dispõe sobre a prestação de serviços postais aos órgãos públicos federais da administração direta e indireta.,2023-05-19,TRANSFORMADA EM NORMA JURÍDICA,2,36,FALSE
158137,PL 2249/2023,"Altera o Decreto-Lei nº 1.455, de 7 de abril de 1976, as Leis nºs 10.833, de 29 de dezembro de 2003, e 14.286, de 29 de dezembro de 2021, para dispor sobre a aplicação e o julgamento da pena de perdimento de mercadoria, veículo e moeda.",2023-06-14,TRANSFORMADA EM NORMA JURÍDICA,2,37,FALSE
158138,PL 2250/2023,"Dispõe sobre a faculdade de concessão, como garantia de operações de crédito, do direito de resgate assegurado aos participantes de planos de previdência complementar aberta, aos segurados de seguros de pessoas, aos cotistas de Fundo de Aposentadoria Programada Individual (Fapi) e aos titulares de títulos de capitalização.",2023-06-14,TRANSFORMADA EM NORMA JURÍDICA,2,38,FALSE
160578,PL 2812/2023,"Acrescenta parágrafo único ao art. 499 da Lei n° 13.105, de 16 de março de 2015 (Código de Processo Civil), para conferir ao réu a oportunidade de cumprir a tutela específica em caso de requerimento de sua conversão em perdas e danos.",2023-10-18,TRANSFORMADA EM NORMA JURÍDICA,2,39,FALSE
161590,PL 5427/2023,"Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para sujeitar o agressor a monitoração eletrônica durante aplicação de medida protetiva de urgência em casos de violência doméstica e familiar.",2023-12-12,TRANSFORMADA EM NORMA JURÍDICA,2,40,FALSE
161594,PL 2880/2023,"Altera a Lei nº 11.343, de 23 de agosto de 2006, para dispor sobre a criação de programa de saúde direcionado às mulheres alcoolistas.",2023-12-12,TRANSFORMADA EM NORMA JURÍDICA,2,41,FALSE
161761,PL 1803/2023,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para estabelecer que a eleição de foro deve guardar pertinência com o domicílio das partes ou com o local da obrigação e que o ajuizamento de ação em juízo aleatório constitui prática abusiva, passível de declinação de competência de ofício.",2023-12-20,TRANSFORMADA EM NORMA JURÍDICA,2,42,FALSE
163142,PL 5696/2023,"Altera as Leis nºs 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), e 11.947, de 16 de junho de 2009, para garantir o acesso à água potável nas instituições de ensino.",2024-04-17,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,2,43,FALSE
164281,PL 3613/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), e a Lei nº 8.072, de 25 de julho de 1990 (Lei dos Crimes Hediondos), para recrudescer o tratamento penal dispensado ao autor de crime praticado nas dependências de instituição de ensino.",2024-06-19,TRANSFORMADA EM NORMA JURÍDICA,2,44,FALSE
164303,PL 715/2023,"Altera as Leis nºs 5.889, de 8 de junho de 1973, e 14.601, de 19 de junho de 2023, a fim de excluir a remuneração decorrente do contrato de safra do cálculo da renda familiar mensal considerada para recebimento de benefícios sociais e de dispor sobre o registro de informações relativas ao contrato de safra no Sistema de Escrituração Digital das Obrigações Fiscais, Previdenciárias e Trabalhistas (eSocial).",2024-06-24,VETADA,2,45,FALSE
164505,PL 4553/2023,"Institui o Selo de Engenharia ou Arquitetura Solidária, destinado às empresas e aos profissionais de engenharia, arquitetura ou ramo da construção civil que executarem ou financiarem projetos para atendimento de comunidades carentes, de mutuários e de proprietários de imóveis, nos termos que especifica.",2024-07-04,TRANSFORMADA EM NORMA JURÍDICA,2,46,FALSE
166097,PL 2336/2023,"Dispõe sobre o exercício da atividade de condutor de ambulância da administração pública e da iniciativa privada; e altera a Lei nº 9.503, de 23 de setembro de 1997 (Código de Trânsito Brasileiro).",2024-11-11,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,2,47,FALSE
166521,PL 1241/2023,"Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para modificar a composição da Comissão Nacional de Incorporação de Tecnologias no Sistema Único de Saúde (Conitec).",2024-12-10,TRANSFORMADA EM NORMA JURÍDICA,2,48,FALSE
167022,PL 2387/2023,"Altera a Lei nº 11.738, de 16 de julho de 2008, para incluir os professores da educação infantil como profissionais do magistério, e a Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para definir professores da educação infantil.",2024-12-30,TRANSFORMADA EM NORMA JURÍDICA,2,49,FALSE
171136,PL 743/2023,"Altera a Lei nº 10.880, de 9 de junho de 2004, para permitir a utilização de transporte escolar oferecido aos alunos da educação básica pública residentes em área rural pelos seus professores ou por estudantes da zona urbana e da educação superior; e revoga dispositivo da Lei nº 12.816, de 5 de junho de 2013.",2025-10-21,REMETIDA À CÂMARA DOS DEPUTADOS,2,50,FALSE
171333,PL 4978/2023,"Altera a Lei nº 13.105, de 16 de março de 2015 (Código de Processo Civil), para dispor sobre a transferência automática do montante da prestação alimentícia.",2025-10-29,TRANSFORMADA EM NORMA JURÍDICA,2,51,FALSE
159046,PL 3/2023,"Cria o protocolo “Não é Não”, para prevenção ao constrangimento e à violência contra a mulher e para proteção à vítima; institui o selo “Não é Não - Mulheres Seguras”; e altera a Lei nº 14.597, de 14 de junho de 2023 (Lei Geral do Esporte).",2023-08-08,TRANSFORMADA EM NORMA JURÍDICA,1,52,FALSE
159125,PL 3898/2023,"Acrescenta § 5º ao art. 88 da Lei nº 8.213, de 24 de julho de 1991, para prever a atuação do Serviço Social nos hospitais públicos.",2023-08-10,TRANSFORMADA EM NORMA JURÍDICA,1,53,FALSE
159374,PL 3148/2023,"Dispõe sobre os procedimentos para a denominação de instituições públicas de ensino indígenas, quilombolas e do campo no território nacional.",2023-08-23,TRANSFORMADA EM NORMA JURÍDICA,1,54,FALSE
159468,PL 4147/2023,"Dispõe sobre a profissão de técnico em nutrição e dietética; e altera a Lei nº 6.583, de 20 de outubro de 1978.",2023-08-25,TRANSFORMADA EM NORMA JURÍDICA,1,55,FALSE
160267,PL 7/2023,"Altera o Decreto-Lei nº 236, de 28 de fevereiro de 1967.",2023-09-29,TRANSFORMADA EM NORMA JURÍDICA,1,56,FALSE
160465,PL 2245/2023,Institui a Política Nacional de Trabalho Digno e Cidadania para População em Situação de Rua (PNTC PopRua); e dá outras providências.,2023-10-11,TRANSFORMADA EM NORMA JURÍDICA,1,57,FALSE
160810,PL 5332/2023,"Altera as Leis nºs 8.213, de 24 de julho de 1991, e 8.742, de 7 de dezembro de 1993, para dispensar o segurado do Regime Geral de Previdência Social e o beneficiário do benefício de prestação continuada da reavaliação periódica das condições da concessão do benefício quando a incapacidade for permanente, irreversível ou irrecuperável e para determinar a participação de especialista em infectologia na perícia médica de pessoa com síndrome da imunodeficiência adquirida.",2023-11-01,VETADA,1,58,FALSE
160921,PL 5395/2023,Institui a Política Nacional de Assistência Estudantil (PNAES).,2023-11-07,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,1,59,FALSE
160923,PL 4540/2023,"Altera a Lei nº 12.764, de 27 de dezembro de 2012, para incentivar a realização da investigação diagnóstica do transtorno do espectro autista em pessoas adultas e idosas.",2023-11-07,TRANSFORMADA EM NORMA JURÍDICA,1,60,FALSE
160998,PL 1435/2023,"Institui a campanha nacional permanente Recrutando Anjos; obriga os estabelecimentos a afixar cartazes sobre manobras para desobstrução das vias respiratórias; e altera a Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente).",2023-11-08,REMETIDA À CÂMARA DOS DEPUTADOS,1,61,FALSE
161599,PL 419/2023,"Modifica os arts. 65 e 115 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para alterar circunstância atenuante e vedar a redução do prazo de prescrição para os crimes que envolvam violência sexual contra a mulher, quando o agente for, na data do fato, menor de 21 (vinte e um) anos ou, na data da sentença, maior de 70 (setenta) anos de idade.",2023-12-12,TRANSFORMADA EM NORMA JURÍDICA,1,62,FALSE
162019,PL 1151/2023,"Altera o art. 87 da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), para estender o direito ao atendimento psicossocial às crianças e aos adolescentes que tiverem qualquer dos pais ou responsáveis vitimado por grave violência ou preso em regime fechado.",2024-02-08,TRANSFORMADA EM NORMA JURÍDICA,1,63,FALSE
163847,PL 4731/2023,Isenta do Imposto sobre Produtos Industrializados (IPI) móveis e eletrodomésticos da linha branca destinados aos residentes em áreas atingidas por desastres naturais ou eventos climáticos extremos.,2024-05-27,VETADA,1,64,FALSE
165847,PL 4099/2023,"Altera a Lei nº 12.974, de 15 de maio de 2014, para incluir as agências de turismo receptivo entre as modalidades de agências de turismo.",2024-10-18,REMETIDA À CÂMARA DOS DEPUTADOS,1,65,FALSE
165848,PL 2621/2023,"Altera a Lei nº 13.146, de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência), para tornar obrigatória a distribuição, pelo Sistema Único de Saúde (SUS), do cordão de fita com desenhos de girassóis para a identificação de pessoas com deficiências ocultas.",2024-10-18,VETADA,1,66,FALSE
168513,PL 3112/2023,"Altera a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), para estabelecer que a audiência de retratação nos casos de violência doméstica e familiar contra a mulher somente seja realizada mediante manifestação expressa da vítima, apresentada antes do recebimento da denúncia.",2025-05-08,TRANSFORMADA EM NORMA JURÍDICA,1,67,FALSE
171326,PL 2979/2023,"Altera o art. 26 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para prever o ensino de educação financeira como tema transversal e integrador nos currículos do ensino fundamental e do ensino médio.",2025-10-29,REMETIDA À CÂMARA DOS DEPUTADOS,1,68,FALSE
156347,PL 1219/2023,"Dispõe sobre a composição, o funcionamento e a competência do Conselho Superior da Justiça do Trabalho; e altera a Consolidação das Leis do Trabalho, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943.",2023-03-16,TRANSFORMADA EM NORMA JURÍDICA,0,69,FALSE
157251,PL 1084/2023,"Altera a Lei nº 10.891, de 9 de julho de 2004, para garantir às atletas gestantes ou puérperas, no âmbito da Bolsa-Atleta, o respeito à maternidade e aos direitos que as protegem.",2023-05-04,TRANSFORMADA EM NORMA JURÍDICA,0,70,FALSE
157527,PL 1987/2023,Cria funções comissionadas no Quadro de Pessoal do Tribunal de Justiça do Distrito Federal e dos Territórios.,2023-05-19,TRANSFORMADA EM NORMA JURÍDICA,0,71,FALSE
158200,PL 920/2023,"Altera as Leis nºs 12.340, de 1º de dezembro de 2010, e 9.605, de 12 de fevereiro de 1998, para destinar parcela das arrecadações de recursos financeiros advindos do pagamento de multas por crimes e infrações ambientais e de acordos judiciais e extrajudiciais de reparação de danos socioambientais para o Fundo Nacional para Calamidades Públicas, Proteção e Defesa Civil (Funcap).",2023-06-15,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,72,FALSE
158458,PL 2402/2023,"Dispõe sobre a transformação de cargos efetivos em cargos em comissão e funções de confiança no quadro de pessoal do Ministério Público da União; e altera a Lei nº 13.316, de 20 julho de 2016.",2023-06-22,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,73,FALSE
158762,PL 3535/2023,"Cria cargos de provimento efetivo, cargos em comissão e funções comissionadas nos Quadros Permanentes da Secretaria do Superior Tribunal Militar e das Auditorias da Justiça Militar da União.",2023-07-11,TRANSFORMADA EM NORMA JURÍDICA,0,74,FALSE
159049,PL 3635/2023,"Cria o selo Empresa Amiga da Amamentação, para estimular o desenvolvimento de ações de incentivo ao aleitamento materno.",2023-08-08,TRANSFORMADA EM NORMA JURÍDICA,0,75,FALSE
159363,PL 4086/2023,Institui a gratificação por exercício cumulativo de ofícios dos membros da Defensoria Pública da União e dispõe sobre a sua interiorização.,2023-08-23,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,76,FALSE
159366,PL 4088/2023,"Altera o art. 26 da Lei nº 9.394, de 20 de dezembro de 1996 (Lei de Diretrizes e Bases da Educação Nacional), para incluir educação política e direitos da cidadania como componente curricular obrigatório da educação básica.",2023-08-23,TRANSFORMADA EM NORMA JURÍDICA,0,77,FALSE
159369,PL 2861/2023,"Institui a parentalidade positiva e o direito ao brincar como estratégias intersetoriais de prevenção à violência contra crianças; e altera a Lei nº 14.344, de 24 de maio de 2022.",2023-08-23,TRANSFORMADA EM NORMA JURÍDICA,0,78,FALSE
159692,PL 334/2023 (Substitutivo-CD),"Altera as Leis nºs 12.546, de 14 de dezembro de 2011, e 10.865, de 30 de abril de 2004, para prorrogar até 31 de dezembro de 2027 os prazos de que tratam os arts. 7º e 8º e o caput do § 21 do art. 8º, respectivamente, e altera a Lei nº 8.212, de 24 de julho de 1991, para reduzir a alíquota da contribuição previdenciária sobre a folha devida por Municípios.",2023-09-01,VETADA,0,79,FALSE
160723,PL 5231/2023 (Emenda-CD),"Emenda da Câmara dos Deputados ao Projeto de Lei nº 1.220-D de 2011 do Senado Federal (PLS nº 85/2011 na Casa de origem), que “Altera a Lei nº 12.340, de 1º de dezembro de 2010, que ‘dispõe sobre o Sistema Nacional de Defesa Civil - SINDEC, sobre as transferências de recursos para ações de socorro, assistência às vítimas, restabelecimento de serviços essenciais e reconstrução nas áreas atingidas por desastre, e sobre o Fundo Especial para Calamidades Públicas, e dá outras providências’, para socorrer agricultores familiares atingidos por desastres naturais”.",2023-10-26,TRANSFORMADA EM NORMA JURÍDICA,0,80,FALSE
160739,PL 3466/2023,Institui o Dia Nacional do Hematologista e do Hemoterapeuta.,2023-10-30,TRANSFORMADA EM NORMA JURÍDICA,0,81,FALSE
160740,PL 4943/2023,Institui o Dia Nacional do Rosário da Virgem Maria.,2023-10-30,TRANSFORMADA EM NORMA JURÍDICA,0,82,FALSE
160808,PL 3448/2023,Institui o dia 23 de abril como Dia Nacional de Conscientização da Fibrodisplasia Ossificante Progressiva (FOP).,2023-11-01,TRANSFORMADA EM NORMA JURÍDICA,0,83,FALSE
161418,PL 2626/2023,Institui o ano de 2023 como Ano Nacional Fernando Sabino.,2023-12-04,TRANSFORMADA EM NORMA JURÍDICA,0,84,FALSE
161597,PL 6007/2023 (Substitutivo-CD),Dispõe sobre a pesquisa com seres humanos no Brasil,2023-12-12,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,85,FALSE
